batch_characters,iteration,model,latency_ns
1,268,dense,264600
1,268,structured_50,181300
1,269,structured_50,161100
1,269,dense,180400
1,270,dense,171600
1,270,structured_50,152800
1,271,structured_50,149900
1,271,dense,192100
1,272,dense,167300
1,272,structured_50,153800
1,273,structured_50,147400
1,273,dense,159300
1,274,dense,159300
1,274,structured_50,147400
1,275,structured_50,144200
1,275,dense,158000
1,276,dense,157800
1,276,structured_50,146800
1,277,structured_50,144200
1,277,dense,157500
1,278,dense,189500
1,278,structured_50,153600
1,279,structured_50,147100
1,279,dense,159300
1,280,dense,159300
1,280,structured_50,148400
1,281,structured_50,146300
1,281,dense,156700
1,282,dense,158900
1,282,structured_50,147200
1,283,structured_50,143900
1,283,dense,190900
1,284,dense,192700
1,284,structured_50,163700
1,285,structured_50,194500
1,285,dense,182200
1,286,dense,173100
1,286,structured_50,159800
1,287,structured_50,161700
1,287,dense,172600
1,288,dense,169000
1,288,structured_50,160800
1,289,structured_50,179000
1,289,dense,180900
1,290,dense,173400
1,290,structured_50,162300
1,291,structured_50,159900
1,291,dense,172500
1,292,dense,171500
1,292,structured_50,159800
1,293,structured_50,156900
1,293,dense,168400
1,294,dense,169500
1,294,structured_50,162100
1,295,structured_50,181400
1,295,dense,182300
1,296,dense,172500
1,296,structured_50,164700
1,297,structured_50,162700
1,297,dense,201000
1,298,dense,200100
1,298,structured_50,181900
1,299,structured_50,394400
1,299,dense,194700
1,300,dense,204900
1,300,structured_50,163500
1,301,structured_50,158100
1,301,dense,171700
1,302,dense,170700
1,302,structured_50,160500
1,303,structured_50,156500
1,303,dense,185000
1,304,dense,192500
1,304,structured_50,248200
1,305,structured_50,165300
1,305,dense,172600
1,306,dense,170600
1,306,structured_50,160900
1,307,structured_50,157800
1,307,dense,169300
1,308,dense,169000
1,308,structured_50,159600
1,309,structured_50,155900
1,309,dense,196400
1,310,dense,174300
1,310,structured_50,159600
1,311,structured_50,156500
1,311,dense,168800
1,312,dense,168700
1,312,structured_50,174100
1,313,structured_50,180100
1,313,dense,199200
1,314,dense,205600
1,314,structured_50,196500
1,315,structured_50,193600
1,315,dense,194900
1,316,dense,192600
1,316,structured_50,175800
1,317,structured_50,161000
1,317,dense,187500
1,318,dense,213800
1,318,structured_50,179700
1,319,structured_50,188600
1,319,dense,202800
1,320,dense,199100
1,320,structured_50,180500
1,321,structured_50,181600
1,321,dense,179800
1,322,dense,176300
1,322,structured_50,163100
1,323,structured_50,171500
1,323,dense,210900
1,324,dense,210400
1,324,structured_50,181800
1,325,structured_50,202700
1,325,dense,185800
1,326,dense,180800
1,326,structured_50,192200
1,327,structured_50,222100
1,327,dense,223600
1,328,dense,501300
1,328,structured_50,293800
1,329,structured_50,207700
1,329,dense,209100
1,330,dense,192200
1,330,structured_50,192900
1,331,structured_50,178000
1,331,dense,181100
1,332,dense,185400
1,332,structured_50,229200
1,333,structured_50,183400
